Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet,processed_text
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,rt mayasolovely woman shouldnt complain cleaning house man always take trash
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,rt mleew17 boy dats coldtyga dwn bad cuffin dat hoe 1st place
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,rt urkindofbrand dawg rt 80sbaby4life ever fuck bitch start cry confused shit
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,rt cganderson vivabased look like tranny
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,rt shenikaroberts shit hear might true might faker bitch told ya 
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",tmadisonx shit blows meclaim faithful somebody still fucking hoes 😂😂😂
6,3,0,3,0,1,"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",brighterdays sit hate another bitch got much shit going
7,3,0,3,0,1,!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,“ selfiequeenbri cause im tired big bitches coming us skinny girls ”
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """,might get ya bitch back thats
9,3,1,2,0,1,""" @rhythmixx_ :hobbies include: fighting Mariam""

bitch",rhythmixx hobbies include fighting mariam bitch
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",keeks bitch curves everyone lol walked conversation like smh
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """,murda gang bitch gang land
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG",hoes smoke losers yea go ig
13,3,0,3,0,1,""" bad bitches is the only thing that i like """,bad bitches thing like
14,3,1,2,0,1,""" bitch get up off me """,bitch get
15,3,0,3,0,1,""" bitch nigga miss me with it """,bitch nigga miss
16,3,0,3,0,1,""" bitch plz whatever """,bitch plz whatever
17,3,1,2,0,1,""" bitch who do you love """,bitch love
18,3,0,3,0,1,""" bitches get cut off everyday B """,bitches get cut everyday b
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """,black bottle bad bitch
20,3,0,3,0,1,""" broke bitch cant tell me nothing """,broke bitch cant tell nothing
21,3,0,3,0,1,""" cancel that bitch like Nino """,cancel bitch like nino
22,3,0,3,0,1,""" cant you see these hoes wont change """,cant see hoes wont change
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",fuck bitch dont even suck dick 😂😂😂 kermit videos bout fuck ig
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",got ya bitch tip toeing hardwood floors 😂 httptcocou2wq5l4q
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &#128524;",pussy lips like heaven doors 😌
26,3,0,3,0,1,""" hoe what its hitting for """,hoe hitting
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",met pussy ocean dr gave pussy pill 😌
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """,need trippy bitch fuck hennessy
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """,spend money want bitch business
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """,txt old bitch new bitch pussy wetter
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",id say im back old old bitches would get excited 😌
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """,aint bout murder game pussy nigga shut
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """,youre toes aint done pussy stinks
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,im done bitter bitches wrap angry bird theres app
35,3,0,3,0,1,""" is that ya bitch """,ya bitch
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """,aint nothing cut bitch
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" #Shots",jus meet son ya mane ass bitches shots
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """,lames crying hoes thats tears clown
39,3,0,3,0,1,""" like Snoop said in 94 we dont love these hoes """,like snoop said 94 dont love hoes
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """,momma said pussy cats inside doghouse
